Date,Open,High,Low,Close,Adj Close,Volume
1999/10/8,131.75,133.875,131.234299,133.875,95.807396,9674300
1999/10/11,133.593704,134.125,133.3125,133.656204,95.65081,4282000
1999/10/12,133.125,133.3125,131.1875,131.593704,94.174782,8686100
1999/10/13,130.6875,131.3125,128.1875,128.1875,91.737122,10469300
1999/10/14,128.484299,129.1875,126.75,128.156204,91.714722,10562200
1999/10/15,126,126.75,124.5,124.875,89.366539,14238700
1999/10/18,124.9375,125.9375,123.4375,125.781197,90.015053,9758800
1999/10/19,127.1875,128.25,125.9375,127,90.887299,14392900
1999/10/20,127.75,129.468704,127.125,128.25,91.781853,9759400
1999/10/21,127.218697,129,126.625,129,92.318581,9105400
1999/10/22,129.75,131.218704,129.5625,130.093704,93.101288,8309600
1999/10/25,129.3125,130.468704,128.75,129.4375,92.631706,8114300
1999/10/26,130.1875,130.6875,127.8125,127.8125,91.468712,6256300
1999/10/27,128.375,130.3125,128.25,130.125,93.123688,5433300
1999/10/28,132.4375,134.859299,132.1875,134.5625,96.299362,10509700
1999/10/29,135.843704,137.6875,135.718704,137,98.043762,10988600
1999/11/1,136.5,137,135.5625,135.5625,97.015022,4006500
1999/11/2,135.968704,137.25,134.593704,134.593704,96.321754,6516900
1999/11/3,136,136.375,135.125,135.5,96.970322,7222300
1999/11/4,136.75,137.359299,135.765594,136.531204,97.708267,7907500
1999/11/5,138.625,139.109299,136.781204,137.875,98.669945,7431500
1999/11/8,137,138.375,136.75,138,98.759407,4649200
1999/11/9,138.5,138.6875,136.281204,136.703094,97.831299,4533700
1999/11/10,136.25,138.390594,136.078094,137.718704,98.558083,6405600
1999/11/11,138.1875,138.5,137.468704,138.5,99.117226,4794100
1999/11/12,139.25,139.984299,137.125,139.75,100.011803,11802900
1999/11/15,139.843704,140.25,139.406204,140.078094,100.24662,2187500
1999/11/16,140.5625,143,140.093704,141.25,101.085289,7544800
1999/11/17,142.25,142.9375,141.3125,141.625,101.353668,9459000
1999/11/18,142.4375,143,141.625,142.625,102.069328,4491000
1999/11/19,142.406204,142.968704,142,142.5,101.979836,4832100
1999/11/22,142.4375,143,141.5,142.468704,101.957466,4155400
1999/11/23,142.843704,142.843704,140.375,141.218704,101.062897,5918000
1999/11/24,140.75,142.4375,140,141.968704,101.599602,4459700
1999/11/26,142.468704,142.875,141.25,141.4375,101.219452,1693900
1999/11/29,140.875,141.921799,140.4375,140.9375,100.861633,7348600
1999/11/30,140.75,142.3125,139,139.281204,99.676308,7682000
1999/12/1,139.3125,140.5,139,140.406204,100.481422,6980200
1999/12/2,140.625,141.375,140.375,141.25,101.085289,6698300
1999/12/3,143.031204,145.343704,143.031204,143.843704,102.941452,10045400
1999/12/6,143.531204,143.718704,142.25,142.781204,102.181107,3138900
1999/12/7,143.281204,143.3125,141.375,141.625,101.353668,10714200
1999/12/8,141.343704,142.0625,140.5,140.718704,100.705048,4611400
1999/12/9,141.8125,142.218704,139.375,141.406204,101.197113,6474700
1999/12/10,142.281204,142.8125,140.875,141.875,101.532562,5127300
1999/12/13,141.4375,142.718704,141.281204,142.125,101.711479,4210800
1999/12/14,141.625,142.484299,140.625,140.75,100.727486,5739000
1999/12/15,140.375,142.203094,140.031204,141.5,101.26416,6879100
1999/12/16,142.1875,142.656204,141.156204,142.125,101.711479,5854900
1999/12/17,143,143.3125,142.0625,142.6875,102.3647,4775400
1999/12/20,142.5625,143.1875,141.093704,141.656204,101.624817,4608700
1999/12/21,141.593704,144.0625,141.343704,143.8125,103.171761,7981300
1999/12/22,143.625,144.1875,142.968704,144.1875,103.440788,5377500
1999/12/23,145.015594,146.484299,145,146.484299,105.088501,5721700
1999/12/27,146.5,146.781204,145.0625,146.281204,104.942795,2691000
1999/12/28,145.875,146.5,145.484299,146.1875,104.875595,4084500
1999/12/29,146.3125,146.8125,145.3125,146.8125,105.323959,3001000
1999/12/30,147.125,147.5625,146.1875,146.640594,105.200607,3641300
1999/12/31,146.843704,147.5,146.25,146.875,105.368813,3172700
2000/1/3,148.25,148.25,143.875,145.4375,104.337547,8164300
2000/1/4,143.531204,144.0625,139.640594,139.75,100.257309,8089800
2000/1/5,139.9375,141.531204,137.25,140,100.436638,12177900
2000/1/6,139.625,141.5,137.75,137.75,98.822495,6227200
2000/1/7,140.3125,145.75,140.0625,145.75,104.561699,8066500
2000/1/10,146.25,146.906204,145.031204,146.25,104.920441,5741700
2000/1/11,145.8125,146.093704,143.5,144.5,103.664948,7503700
2000/1/12,144.593704,144.593704,142.875,143.0625,102.633705,6907700
2000/1/13,144.468704,145.75,143.281204,145,104.023666,5158300
2000/1/14,146.531204,147.468704,145.968704,146.968704,105.435997,7437300
2000/1/18,145.343704,146.625,145.1875,145.8125,104.606529,6488500
2000/1/19,145.3125,147,145,147,105.458488,6157900
2000/1/20,146.968704,146.968704,143.8125,144.75,103.844322,5800100
2000/1/21,145.5,145.5,144.0625,144.4375,103.62011,6244800
2000/1/24,145.656204,145.843704,139.406204,140.343704,100.683228,7896900
2000/1/25,140.515594,141.9375,139,141.9375,101.826653,9942500
2000/1/26,141,141.546799,140.093704,140.8125,101.019493,5158100
2000/1/27,141.843704,142.218704,138.125,140.25,100.615982,10922700
2000/1/28,139.4375,140.0625,135.531204,135.875,97.477379,11916200
2000/1/31,135.8125,139.671799,135,139.5625,100.12278,10768700
2000/2/1,139.75,141.6875,138.531204,140.9375,101.109207,8419900
2000/2/2,141.281204,142.25,140.375,141.0625,101.198891,6205900
2000/2/3,140.875,143.25,140,143.1875,102.723366,7997500
2000/2/4,143.1875,144,142.125,142.593704,102.297356,4925400
2000/2/7,142.5625,142.781204,141.4375,142.375,102.140427,5845800
2000/2/8,143.968704,144.5625,143.625,144.3125,103.530464,4936400
2000/2/9,144.468704,144.468704,141.265594,141.281204,101.355827,8511500
2000/2/10,141.625,142.5625,140.875,141.5625,101.557594,6690600
2000/2/11,141.843704,141.9375,138.031204,138.6875,99.495079,9849800
2000/2/14,139.781204,139.781204,138.3125,139.5,100.077965,8528800
2000/2/15,139.25,141.218704,137.796799,141.078094,101.210091,11078300
2000/2/16,140.375,140.9375,138.796799,139,99.719254,8845400
2000/2/17,140.4375,140.4375,138.218704,138.281204,99.20356,7584200
2000/2/18,138.875,138.875,134.625,135.3125,97.073807,9409200
2000/2/22,135.1875,136.343704,133.531204,134.968704,96.827164,16415400
2000/2/23,135.625,137.468704,134.5,136.5625,97.970589,12119000
2000/2/24,136.6875,137.031204,133.093704,133.8125,95.997704,17375000
2000/2/25,135.1875,136.718704,133.125,133.328094,95.650185,10559900
2000/2/28,133.375,136.6875,132.718704,136.125,97.656693,13397800
2000/2/29,136.0625,137.4375,135.75,137.4375,98.598312,8242500
2000/3/1,137.625,139,137.218704,138.4375,99.315735,6868000
2000/3/2,138.6875,139.125,137.343704,138.531204,99.382957,7600200
2000/3/3,140.4375,141.718704,139.718704,141.125,101.243698,12770300
2000/3/6,140.8125,141.343704,138.75,139.75,100.257309,11967100
2000/3/7,140,140.156204,135.218704,137.046799,98.318024,20062000
2000/3/8,136.468704,137.843704,135.031204,136.875,98.194733,11808500
2000/3/9,137.25,140.875,136.125,140.875,101.064377,5500900
2000/3/10,140.1875,142,139.531204,140.125,100.526344,7924600
2000/3/13,136.6875,140.468704,135.6875,138.593704,99.427757,10540500
2000/3/14,139.281204,140.093704,136.156204,136.625,98.015396,8263900
2000/3/15,136.875,140.4375,136.0625,139.8125,100.302162,10300800
2000/3/16,141.625,146.843704,140.875,146.343704,104.987625,25601400
2000/3/17,145.8125,148,145.4375,146.9375,105.681541,10272900
2000/3/20,146.875,147.343704,144.781204,146.1875,105.14212,12502300
2000/3/21,145.531204,149.75,144.5,149.1875,107.299797,13612600
2000/3/22,149.5625,150.843704,148.6875,150.093704,107.951553,8260000
2000/3/23,149.156204,153.468704,149.156204,152.656204,109.794601,11654500
2000/3/24,152.875,155.75,151.718704,153.5625,110.446449,11462900
2000/3/27,153.375,153.781204,151.8125,151.9375,109.277657,8798600
2000/3/28,151.25,152.984299,150.593704,151.0625,108.648407,6334400
2000/3/29,151.5625,152.484299,149.656204,151.218704,108.760773,6747500
2000/3/30,150.156204,151.921799,147.125,148.6875,106.940193,9491900
2000/3/31,149.625,152.3125,148.4375,150.375,108.1539,9249100
2000/4/3,150.125,151.25,148.6875,151.25,108.783188,8508200
2000/4/4,151.75,153,141.390594,150.125,107.974068,19585500
2000/4/5,147.875,150.8125,147.625,149.1875,107.299797,8387200
2000/4/6,150.25,151.6875,149,150.484299,108.232513,6378500
2000/4/7,151.5625,152.125,150.5,151.4375,108.918045,6023600
2000/4/10,151.75,153.109299,150.3125,150.843704,108.491013,9624200
2000/4/11,150,151.625,148.375,150.406204,108.176353,9006400
2000/4/12,150.375,151.156204,146.156204,146.281204,105.209526,10779200
2000/4/13,147.468704,148.156204,143.781204,144.25,103.748619,12225800
2000/4/14,142.625,142.8125,133.5,136,97.814964,29604000
2000/4/17,135.1875,140.75,134.6875,140.75,101.231339,23918200
2000/4/18,140.5625,144.468704,139.781204,144.468704,103.905914,11069200
2000/4/19,144.5,145.125,142.531204,143.125,102.939499,6553700
2000/4/20,143.5625,143.9375,142.375,143.8125,103.433983,8537600
2000/4/24,141.5,143.3125,140.5,142.25,102.310143,12893100
2000/4/25,144.625,148.156204,144.4375,148.156204,106.558044,14102000
2000/4/26,147.968704,148.75,146,146.484299,105.355606,7711100
2000/4/27,143,147.343704,143,146,105.007271,15595300
2000/4/28,147,147.859299,145.0625,145.093704,104.355446,8743400
2000/5/1,146.5625,148.484299,145.843704,147.0625,105.771492,7328300
2000/5/2,145.5,147.125,144.125,144.125,103.658722,9411900
2000/5/3,144,144,139.781204,140.75,101.231339,12630700
2000/5/4,142,142.359299,140.75,141.8125,101.995461,5963600
2000/5/5,141.0625,144,140.9375,143.531204,103.231636,7862400
2000/5/8,142.75,143.375,141.843704,142.453094,102.456253,5064100
2000/5/9,143.0625,143.406204,140.265594,141.3125,101.635887,5620300
2000/5/10,140.5,140.968704,137.75,138.125,99.343361,10293900
